Phrase n°,Temoin,dracula1.txt,dracula2.txt
1,"L’invité de Dracula (1)  Lorsque je partis en excursion, un beau soleil illuminait Munich, et l’air était rempli de cette joie particulière au début de l’été",=,"L’invité de Dracula  Lorsque je partis en excursion, un beau soleil illuminait Munich, et l’air était rempli de cette joie particulière au début de l’été"
2,"La voiture s’ébranlait déjà lorsque Herr Delbrück (le patron de l’hôtel des Quatre Saisons où j’étais descendu) accourut pour me souhaiter une promenade agréable ; puis, la main toujours sur la portière, il s’adressa au cocher :  – Et, surtout, soyez de retour avant le soir, n’est-ce pas",=,=
3,"Pour le moment, il fait beau, mais ce vent du nord pourrait bien finir, malgré tout, par nous amener un orage",=,=
4,"Il est vrai qu’il est inutile de vous recommander la prudence : vous savez aussi bien que moi qu’il ne faut pas s’attarder en chemin cette nuit",=,=
5,"Il avait souri en disant ces derniers mots",=,=
6,"– Ja, mein Herr, fit Johann d’un air entendu et, touchant de deux doigts son chapeau, il fit partir les chevaux à toute vitesse",=,=
7,"Lorsque nous fûmes sortis de la ville, je lui fis signe d’arrêter, et lui demandai aussitôt :  – Dites-moi, Johann, pourquoi le patron a-t-il parlé ainsi de la nuit prochaine",=,=
8,"En se signant, il me répondit brièvement :  – Walpurgis Nacht",=,=
9,"Puis, de sa poche, il tira sa montre – une ancienne montre allemande, en argent et de la grosseur d’un navet ; il la consulta en fronçant les sourcils, et haussa légèrement les épaules dans un mouvement de contrariété",=,=
10,"Je compris que c’était là sa façon de protester assez respectueusement contre ce retard inutile, et je me laissai retomber au fond de la voiture",=,=
11,"Aussitôt, il se remit en route à vive allure, comme s’il voulait regagner le temps perdu",=,=
12,"De temps à autre, les chevaux relevaient brusquement la tête et reniflaient – on eût dit qu’une odeur ou l’autre qu’eux seuls percevaient leur inspirait quelque crainte",=,=
13,"Et chaque fois que je les voyais ainsi effrayés, moi-même, assez inquiet, je regardais le paysage autour de moi",=,=
14,"La route était battue des vents, car nous montions une côte depuis un bon moment et parvenions sur un plateau",=,=
15,"Peu après, je vis un chemin par lequel, apparemment, on ne passait pas souvent et qui, me semblait-il, s’enfonçait vers une vallée étroite",=,=
16,"J’eus fort envie de le prendre et, même au risque d’importuner Johann, je lui criai à nouveau d’arrêter et je lui expliquai alors que j’aimerais descendre par ce chemin",=,=
17,"Cherchant toutes sortes de prétextes, il dit que c’était impossible – et il se signa plusieurs fois tandis qu’il parlait",=,=
18,"Ma curiosité éveillée, je lui posai de nombreuses questions",=,=
19,"Il y répondit évasivement et en consultant sa montre à tout instant – en guise de protestation",=,=
20,"À la fin, je n’y tins plus",=,=
21,"– Johann, lui dis-je, je veux descendre par ce chemin",=,=
22,"Je ne vous oblige pas à m’accompagner ; mais je voudrais savoir pourquoi vous ne voulez pas le prendre",=,=
23,"Pour toute réponse, d’un bond rapide, il sauta du siège",=,=
24,"Une fois à terre, il joignit les mains, me supplia de ne pas m’enfoncer dans ce chemin",=,=
25,"Il mêlait à son allemand assez de mots anglais pour que je le comprenne",=,=
26,"Il me semblait toujours qu’il allait me dire quelque chose – dont la seule idée sans aucun doute l’effrayait -, mais, à chaque fois, il se ressaisissait et répétait simplement en faisant le signe de la croix :  – Walpurgis Nacht",=,=
27,"Walpurgis Nacht",=,=
28,"Je voulus un peu discuter, mais allez donc discuter quand vous ne comprenez pas la langue de votre interlocuteur",=,=
29,"Il garda l’avantage sur moi, car bien qu’il s’appliquât chaque fois à utiliser les quelques mots d’anglais qu’il connaissait, il finissait toujours par s’exciter et par se remettre à parler allemand – et, invariablement alors, il regardait sa montre pour me faire comprendre ce que j’avais à comprendre",=,=
30,"Les chevaux aussi devenaient impatients et ils reniflèrent à nouveau ; voyant cela, l’homme blêmit, regarda tout autour de lui, l’air épouvanté et, soudain, saisissant les brides, conduisit les chevaux à quelques mètres de là",=,=
31,"Je le suivis et lui demandai ce qui le poussait soudain à quitter l’endroit où nous nous étions d’abord arrêtés",=,=
32,"Il se signa, me montra l’endroit en question, fit encore avancer sa voiture vers la route opposée et, enfin, le doigt tendu vers une croix qui se trouvait là, me dit, d’abord en allemand puis dans son mauvais anglais :  – C’est là qu’on a enterré celui qui s’est tué",=,=
33,"Je me souvins alors de la coutume ancienne qui voulait qu’on enterrât les suicidés à proximité des carrefours",=,=
34,"– Ah oui",=,=
